name,album,uri,acousticness,instrumentalness,liveness,loudness,popularity,duration_ms
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:6dODwocEuGzHAavXqTbwHv,0.502,1.53E-05,0.0961,-10.976,82,3.81
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:4PdLaGZubp4lghChqp8erB,0.0483,0,0.126,-8.441,79,4.8
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:7uGYWMwRy24dm7RUDDhUlD,0.137,0,0.302,-7.362,80,3.4
Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,0.56,1.00E-06,0.0946,-10.412,82,261228
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:7wAkQFShJ27V8362MqevQr,0.73,0.00264,0.0816,-11.388,80,262974
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:4QMgEffJQuKtjCNvqfRZ0m,0.384,0,0.135,-7.684,81,340428
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:7IWcDWOfiooH5hRs9XOVYz,0.624,0,0.111,-9.394,78,210789
Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:5ExOm0dh4NyRyAdSAO9hyM,0.178,0,0.309,-7.123,79,215463
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:799KrpEbhZp0MHeiA8YK9P,0.607,0,0.0921,-8.374,82,254365
Whos Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:2d8UxVNhJinc8uat9PoM9y,0.315,0,0.106,-10.555,81,334084
I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:5chnRTB9qMK3W1M41SnU9s,0.768,1.72E-06,0.176,-13.961,77,156297
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:3YkNIrAvbKNrrwwEd7NVLl,0.858,0,0.108,-12.56,80,277156
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,0.123,0,0.15,-8.39,82,218004
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1xtw1krCR6Dw2KwkXw5z63,0.52,0,0.338,-9.083,81,245541
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ,0.422,0,0.103,-8.802,78,196900
Clara Bow,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:4d9PtIEVij9jW5OaLinH66,0.636,0.00144,0.106,-11.046,76,216662
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:62E2nR0od0M5HYxuYLaDz7,0.707,0,0.102,-10.855,79,238857
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1kcwpPDQnqEqmezzXdJTCP,0.608,0,0.252,-9.471,81,222072
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:4EF6IyONolQy0bIQXm2EmX,0.655,0,0.0935,-8.942,77,183878
Chloe or Sam or Sophia or Marcus,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,0.78,0,0.105,-8.552,77,213281
How Did It End?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,0.785,0.00093,0.108,-8.859,80,238706
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:7Mts0OfPorF4iwOomvfqn1,0.0274,3.07E-06,0.106,-4.514,82,228800
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:3hlGuz3loYoLfI3bpwieWq,0.717,0,0.357,-7.197,78,243875
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,0.609,0,0.122,-8.013,76,263817
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,0.69,0,0.164,-11.429,76,131907
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:18WFFUIsewmA8g31KAeo3e,0.825,2.67E-06,0.308,-10.359,81,249807
Cassandra,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,0.806,0,0.137,-9.879,76,240205
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,0.805,0,0.0593,-8.212,77,283957
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:2913xXOVAIDAqxzV2g4VcU,0.638,0,0.131,-7.978,77,238241
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,0.791,0.000423,0.1,-10.601,73,240893
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,spotify:track:1DTRUYVd8rYpla9hhVVwjo,0.901,2.43E-06,0.103,-11.665,74,224743
Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:4WUepByoeqcedHoYhSNHRt,0.00661,0.000133,0.325,-4.871,62,212600
Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:0108kcWLnn2HlH2kedi1gn,0.0901,0,0.331,-5.469,64,231833
Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:3Vpk1hfMAQme8VJ0SNRSkd,0.000456,0.0232,0.0946,-4.803,65,231000
Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:1OcSfkeCg9hRC2sFKB4IMJ,0.000466,0.000134,0.381,-5.973,63,235800
All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ,0.000778,0,0.188,-5.614,62,193289
Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:50yNTF0Od55qnHLxYsA5Pw,0.0112,2.51E-05,0.156,-5.707,62,219209
I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:3FxJDucHWdw6caWTKO5b23,0.00388,9.48E-06,0.0812,-6.568,61,207650
Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:7oZONwFiFIErZcXAtTu7FY,0.0369,3.13E-06,0.19,-6.347,61,211103
Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:27exgla7YBw9DUNNcTIpjy,0.0348,9.95E-05,0.0971,-7.439,63,220433
How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:733OhaXQIHY7BKtY3vnSkn,0.00198,1.08E-05,0.0873,-5.956,61,247533
This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:4WBEj8TeGtRPNJdOmT3WJW,0.302,0,0.0672,-8.672,60,250100
I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:1ULabO0PEsdJekqVH6G10G,0.0846,0,0.071,-5.348,61,195700
Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:0lKUBmEyQfzsQHozyeXzES,0.297,2.98E-05,0.103,-8.964,62,271000
Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:6HRsJu8vcnzYDN4t0570FY,0.0105,1.10E-05,0.128,-5.956,61,245566
You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:0TyGh27YQ5LknmiDhCzJiT,0.572,2.08E-06,0.113,-9.403,62,267389
New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:5M787RexsAiVYjQusM98CV,0.00516,4.24E-06,0.0798,-5.936,63,230177
"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],spotify:track:0CD7DzeCsuPJygddqlUVYa,0.33,0.000112,0.0634,-13.187,64,180381
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],spotify:track:3CCRVu4F91Qp2mnGjmWBrf,0.0684,5.82E-06,0.132,-8.375,63,279833
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],spotify:track:5QUIK7ZtziW8kGWo8RqopF,0.16,3.05E-05,0.0834,-9.386,65,146436
Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],spotify:track:6M9ppdfFjR1AbpUl3Y8DcV,0.212,0,0.102,-8.84,61,171818
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],spotify:track:6IG3sQ8s9nfk6TUlVzRhbN,0.0486,0,0.126,-7.343,66,229477
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],spotify:track:6qAcApH8obo8eqatCKUHd9,0.0143,0,0.237,-6.931,74,199773
Mine (Taylor's Version),Speak Now (Taylor's Version),spotify:track:7G0gBu6nLdhFDPRLc0HdDG,0.00314,1.93E-06,0.174,-2.903,74,231706
Sparks Fly (Taylor's Version),Speak Now (Taylor's Version),spotify:track:3MytWN8L7shNYzGl4tAKRp,0.0241,0,0.0936,-2.413,72,261230
Back To December (Taylor's Version),Speak Now (Taylor's Version),spotify:track:79uDOz0zuuWS7HWxzMmTa2,0.00705,0,0.119,-3.994,74,294189
Speak Now (Taylor's Version),Speak Now (Taylor's Version),spotify:track:5xXqyjLicvEpch72qEryFT,0.225,0,0.136,-2.926,69,242473
Dear John (Taylor's Version),Speak Now (Taylor's Version),spotify:track:1zU8j1x3yi9xalMF96pzKp,0.0327,0,0.158,-5.07,69,405906
Mean (Taylor's Version),Speak Now (Taylor's Version),spotify:track:30Y4CV7A6YqtQtTTo7Ue4j,0.321,0,0.213,-3.95,69,238693
The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),spotify:track:6dTA6y0C2ReQklntzZl8l3,0.00136,0,0.0499,-2.636,70,267653
Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),spotify:track:2EFZ9emtKWEglWUQGEQ3P9,0.867,0,0.194,-7.259,65,292920
Enchanted (Taylor's Version),Speak Now (Taylor's Version),spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.016,0,0.165,-3.546,80,353253
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),spotify:track:0NwGC0v03ysCYINtg6ns58,0.000795,0,0.178,-3.013,71,220306
Innocent (Taylor's Version),Speak Now (Taylor's Version),spotify:track:12nBPF4Rh4XLFJV0YLN7uj,0.0972,0,0.127,-5.298,63,301221
Haunted (Taylor's Version),Speak Now (Taylor's Version),spotify:track:4tMzIAFTFdqGBQLdfbPces,0.00552,0,0.252,-1.927,69,245413
Last Kiss (Taylor's Version),Speak Now (Taylor's Version),spotify:track:59KOoHFcw5XfICnO57holu,0.443,3.57E-06,0.1,-8.641,69,369120
Long Live (Taylor's Version),Speak Now (Taylor's Version),spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,0.0162,0,0.227,-4.054,73,317960
Ours (Taylor's Version),Speak Now (Taylor's Version),spotify:track:3yNJkriPzWjkkDAWHIAVUq,0.42,0,0.109,-8.411,66,235803
Superman (Taylor's Version),Speak Now (Taylor's Version),spotify:track:4evLyY5Ue1Wesc61t2KXAU,0.00207,0,0.11,-3.506,62,274945
Electric Touch (feat. Fall Out Boy) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,0.018,0,0.156,-4.753,68,266466
When Emma Falls in Love (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:0zo975x58DlXbZllWvfYhg,0.168,0,0.104,-4.714,66,252385
I Can See You (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:5kHMfzgLZP95O9NBy0ku4v,0.0577,0,0.0426,-4.883,75,273186
Castles Crumbling (feat. Hayley Williams) (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:4ABYxlb92WBIjHu7TIKmml,0.342,0,0.0662,-8.064,67,306062
Foolish One (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,0.599,0,0.112,-4.709,68,311765
Timeless (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),spotify:track:1HCdems7PQZRj42QDWLA0A,0.332,0,0.0868,-5.806,69,321396
Lavender Haze,Midnights (The Til Dawn Edition),spotify:track:24emu3sabKISjRkrys28jq,0.23,0.00126,0.132,-10.56,63,202395
Maroon,Midnights (The Til Dawn Edition),spotify:track:6qxvy9Pe4RJIq5JBVbbwbS,0.0634,1.45E-06,0.0973,-8.29,64,218270
Anti-Hero,Midnights (The Til Dawn Edition),spotify:track:5qIHFdkW6phMsTZlN2g8Lc,0.121,2.62E-06,0.161,-6.645,63,200690
Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),spotify:track:7GA86Uo2jYbj8vIXe2nyWd,0.701,0.000598,0.107,-13.527,60,256124
"You're On Your Own, Kid",Midnights (The Til Dawn Edition),spotify:track:6PQOU00xWNrGwCZzboriXy,0.447,1.55E-05,0.125,-10.331,64,194206
Midnight Rain,Midnights (The Til Dawn Edition),spotify:track:4eKMqf9ZMSclDX7V9Ptg7x,0.71,5.87E-05,0.116,-11.637,63,174782
Question...?,Midnights (The Til Dawn Edition),spotify:track:7oomkQSYf1ia2VnVEWfFIU,0.206,0,0.249,-8.767,61,210556
Vigilante Shit,Midnights (The Til Dawn Edition),spotify:track:0GKDhq6ZbmSbRHd3eyGlB7,0.166,2.18E-05,0.123,-10.764,62,164801
Bejeweled,Midnights (The Til Dawn Edition),spotify:track:0VpF6RLdCfPIeYRwMu4tZK,0.0593,0.000143,0.09,-9.202,63,194165
Labyrinth,Midnights (The Til Dawn Edition),spotify:track:4bBDkw2KBMX0tcgAaXC83Q,0.797,0.333,0.12,-15.512,61,247962
Karma,Midnights (The Til Dawn Edition),spotify:track:45R112Jz5hQeKgITXgSXzs,0.062,0,0.475,-7.108,62,204852
Sweet Nothing,Midnights (The Til Dawn Edition),spotify:track:2L09RYwH5Pjzca6PmbUAw3,0.968,0.00011,0.115,-14.973,60,188496
Mastermind,Midnights (The Til Dawn Edition),spotify:track:1QQii3pa5m8MEda0nbkjfw,0.565,0.00134,0.0922,-14.132,61,191039
The Great War,Midnights (The Til Dawn Edition),spotify:track:2VuqMjgoKaOHNM8HpxtXKx,0.199,2.32E-05,0.0854,-8.93,62,240355
Bigger Than The Whole Sky,Midnights (The Til Dawn Edition),spotify:track:71CBDRKmF2VeRKYMG1DFBh,0.841,0.00131,0.114,-12.584,60,218502
Paris,Midnights (The Til Dawn Edition),spotify:track:5tWxKWq1DSP1s9WQ5PWuqu,0.103,2.89E-05,0.148,-10.501,60,196258
High Infidelity,Midnights (The Til Dawn Edition),spotify:track:1SztNGCwEHJEVFx90E5g7D,0.704,0,0.0877,-10.141,59,231475
Glitch,Midnights (The Til Dawn Edition),spotify:track:7C0w28EsX0Um2FrZs9gso2,0.314,0,0.11,-9.65,58,148781
"Would've, Could've, Should've",Midnights (The Til Dawn Edition),spotify:track:4txojlesMFQZGWxwz2EeqB,0.393,0.00115,0.124,-6.557,62,260361
Dear Reader,Midnights (The Til Dawn Edition),spotify:track:10GRRCR5fctuOF4GFmATJI,0.464,0.00122,0.116,-11.944,59,225194
Hits Different,Midnights (The Til Dawn Edition),spotify:track:3xYJScVfxByb61dYHTwiby,0.134,3.34E-06,0.265,-6.556,72,234466
